Study_ID,Q1_Clear_Objective,Q2_Reproducible_Method,Q3_Dataset_Described,Q4_Metrics_Reported,Q5_Baseline_Comparison,Q6_Statistical_Test,Q7_Limitations_Discussed,Q8_Code_Available,Total_Score (0-8),Quality_Band (High/Medium/Low)
S01,1,1,1,1,1,0.5,1,0,6.5,High
S02,1,1,1,1,1,0.5,1,0,6.5,High
S03,1,1,1,1,1,0,1,1,7,High
S04,1,0.5,1,1,1,0.5,1,0,6.0,High
S05,1,1,1,1,0,0.5,0.5,0,5.0,Medium
S06,1,1,0.5,1,1,0,0.5,0,5.0,Medium
S07,1,1,1,1,1,0.5,0.5,0,6.0,High
S08,1,0.5,1,1,1,0.5,1,0,6.0,High
S09,1,1,1,1,1,0,1,0,6,High
S10,1,1,1,1,0,0.5,1,0,5.5,Medium
S11,1,1,1,1,1,0.5,1,0,6.5,High
S12,1,0.5,0.5,1,1,0,0.5,1,5.5,Medium
S13,1,1,1,1,1,0.5,0.5,0,6.0,High
S14,1,1,1,1,1,0.5,0.5,0,6.0,High
S15,1,1,1,1,0,0,1,0,5,Medium
S16,1,0.5,1,1,1,0.5,1,0,6.0,High
S17,1,1,1,1,1,0.5,1,0,6.5,High
S18,1,1,0.5,1,1,0,1,1,6.5,High
S19,1,1,1,1,1,0.5,0.5,0,6.0,High
S20,1,0.5,1,1,0,0.5,0.5,0,4.5,Medium
S21,1,1,1,1,1,0,0.5,0,5.5,Medium
S22,1,1,1,1,1,0.5,1,0,6.5,High
S23,1,1,1,1,1,0.5,1,0,6.5,High
S24,1,0.5,0.5,1,1,0,1,0,5.0,Medium
S25,1,1,1,1,0,0.5,1,0,5.5,Medium
S26,1,1,1,1,1,0.5,0.5,1,7.0,High
S27,1,1,1,1,1,0,0.5,0,5.5,Medium
S28,1,0.5,0.5,1,0,0,0,0,3.0,Low
S29,1,1,1,1,1,0.5,1,0,6.5,High
S30,1,1,0.5,1,0,0,1,0,4.5,Medium
S31,1,1,1,1,1,0.5,1,0,6.5,High
S32,1,0.5,1,1,1,0.5,1,0,6.0,High
S33,1,0.5,0.5,1,0,0,0,0,3.0,Low
S34,1,1,1,1,1,0.5,0.5,0,6.0,High
S35,1,1,1,1,0,0.5,0.5,0,5.0,Medium
S36,1,0.5,0.5,1,1,0,1,0,5.0,Medium
S37,1,1,1,1,1,0.5,1,0,6.5,High
S38,1,1,1,1,1,0.5,1,1,7.5,High
S39,1,1,1,1,1,0,1,0,6,High
S40,1,0.5,0.5,1,0,0,0,0,3.0,Low
S41,1,1,1,1,1,0.5,0.5,0,6.0,High
S42,1,1,0.5,1,1,0,0.5,0,5.0,Medium
