Record_ID,Authors,Year,Title,Source_DB,Decision (Include/Exclude),Exclusion_Reason,Screened_By,Notes
R001,Li et al.,2019,A High-Precision Edge Detection Algorithm Based on Improved Sobel Operator-Assisted HED,IEEE Xplore,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R002,Wang and Zhao,2020,An Image Edge Detection Algorithm Based on Multi-Feature Fusion,Scopus,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R003,Soria et al.,2020,Dense Extreme Inception Network: Towards a Robust CNN Model for Edge Detection (DEXINED),ScienceDirect,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R004,Chen et al.,2018,Improved Edge Detection Model Based on HED,Web of Science,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R005,Guo et al.,2021,Research on Edge Detection Method Based on Improved HED Network,Google Scholar,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R006,Liu et al.,2019,Scale-Invariant Salient Edge Detection,IEEE Xplore,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R007,Perez et al.,2022,Improving Edge Detection in RGB Images by Adding NIR Channel,Scopus,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R008,Nakamura et al.,2021,Enhancing Deep Edge Detection through Normalized Inputs,ScienceDirect,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R009,Mendes et al.,2023,Advanced Edge Detection for Noisy SEM Images: A Hybrid Approach for Enhanced Precision,Web of Science,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R010,Rahman et al.,2019,Edge Detection in Colored Images Using Parallel CNNs and Social Spider Optimization,Google Scholar,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R011,Zhou et al.,2024,Innovation in Sea–Sky Line Detection,IEEE Xplore,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R012,Khan et al.,2022,HED-UNet: A Multi-Scale Framework for Simultaneous Segmentation and Edge Detection,Scopus,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R013,Sun et al.,2018,Research on Image Semantic Segmentation Algorithm Based on Fully Convolutional HED-CRF,ScienceDirect,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R014,He et al.,2023,Image Semantic Segmentation Fusion of Edge Detection and AFF Attention Mechanism,Web of Science,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R015,Tang et al.,2019,Parallel Fully Convolutional Network for Semantic Segmentation,Google Scholar,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R016,Liang et al.,2021,Boundary Enhancement Semantic Segmentation for Building Extraction from Remote Sensed Images,IEEE Xplore,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R017,Singh et al.,2020,A Method to Improve Pavement Crack Identification by Combining Semantic Segmentation and Edge Detection,Scopus,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R018,Morales et al.,2018,Automatic Prostate Segmentation on MR Images Using Enhanced Holistically-Nested Networks,ScienceDirect,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R019,Kamble et al.,2023,Prostate Cancer Detection from Multi-institution Multiparametric MRIs,Web of Science,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R020,Jiang et al.,2019,Automatic Lymph Node Cluster Segmentation,Google Scholar,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R021,Bello et al.,2021,Liver Segmentation from Multimodal Data,IEEE Xplore,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R022,Zhang et al.,2020,A Method for the Grading and Recognition of Osteoarthritis X-Ray Images Based on MED-HED Detection,Scopus,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R023,Araujo et al.,2022,Early Breast Cancer Screening from Thermography via Deep Pre-Trained Edge Detection with Extreme Gradient Boosting,ScienceDirect,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R024,Kou et al.,2024,A Multi-Scale Hybrid Segmentation and MRMR Feature Selection Approach,Web of Science,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R025,Bianchi et al.,2021,Multi-Magnification Mask R-CNN and HED,Google Scholar,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
R026,Almeida et al.,2019,Sea–Land Segmentation Using HED-UNET for Monitoring,IEEE Xplore,Include,,Reviewer_A; Reviewer_B,Eligible for full-text screening
